Tag,Source Packages,Item,Category,Item Strain,Quantity,Batch Number,Lab Testing,<abbr title='Administrative Hold'>A.H.</abbr>,<abbr title='Packaged Date'>Date</abbr>,<abbr title='Received'>Rcv'd</abbr>
1A4060300004719000000011,,Bulk Bubble Hash -Beginning Inventory,Extract (weight),,3380.37,A10009,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000026,,Bulk Oil CO2 1st Pass -Beginning Inventory,Extract (weight),,412,190508-FCLR,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000028,,Bulk Oil CO2 2nd Pass -Beginning Inventory,Extract (weight),,1100,190304-CLR,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000034,,Bulk Oil CO2 2nd Pass -Beginning Inventory,Extract (weight),,579,190411-BLK-CLR,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000035,,Bulk Oil EHO 2nd Pass -Beginning Inventory,Extract (weight),,7915.5,051019-PRF-A,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000038,,Bulk Oil EHO Amber -Beginning Inventory,Extract (weight),,189,022819-BLK-AMB,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000041,,Bulk Oil EHO 2nd Pass -Beginning Inventory,Extract (weight),,4239.5,bio-wwc-toll-051019,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000042,,Bulk Oil EHO 2nd Pass -Beginning Inventory,Extract (weight),,827,DIST-WWC-051019,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000044,,Bulk Oil CO2 2nd Pass -Beginning Inventory,Extract (weight),,867.7,R70,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000048,,Bulk Tincture -Beginning Inventory,Tincture (volume),,1632.5,190822TINC,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000050,1A4060300004719000000039,Bulk Oil EHO Amber -Beginning Inventory,Extract (weight),,286.8,,NotSubmitted,FALSE,8/22/2019,
1A4060300004719000000614,1A4060300004719000000200,Bulk Oil CO2 1st Pass,Extract (weight),,0,190829-FCLR,NotSubmitted,,,
1A4060300004719000000610,1A4060300004719000000481,Bulk Oil CO2 1st Pass,Extract (weight),,0,200317-FCLR-RCLM,NotSubmitted,,,
1A406030000584D000005035,1A406030000584D000002090,Shake Peach Purée,Shake,,0,,TestPassed,,,
1A4060300004719000000604,"1A4060300004719000000274, 1A4060300004719000000593, 1A4060300004719000000599, 1A4060300004719000000602",Bulk Oil CO2 Reclaim,Extract (weight),,0,201006-RCLM,NotSubmitted,,,
1A4060300003E84000001288,1A4060300003E84000001196,Cookie Dog X Thin Mint Live Resin 1G,Other Concentrate (weight - each),,0,SPK000250,NotSubmitted,,,
1A4060300003E84000001289,1A4060300003E84000001196,Cookie Dog X Thin Mint Live Resin 1G,Other Concentrate (weight - each),,0,SPK00250B,NotSubmitted,,,
